InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;customerID;Churn
Fiber optic;No;Yes;No;No;Yes;Yes;8961-QDZZJ;No
DSL;Yes;No;Yes;No;No;No;8963-JLGJT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8963-MQVYN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8966-KZXXA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8966-OIQHG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8966-SNIZF;No
DSL;No;Yes;No;No;No;No;8967-SZQAS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8969-PRHFK;No
DSL;No;No;No;Yes;Yes;Yes;8970-ANWXO;No
Fiber optic;No;No;No;No;No;Yes;8972-HJWNV;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8974-OVACP;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;8975-SKGRX;No
DSL;No;Yes;No;Yes;No;No;8976-OQHGT;Yes
Fiber optic;No;No;Yes;Yes;Yes;Yes;8979-CAMGB;No
DSL;No;No;Yes;No;No;Yes;8980-WQFWL;No
Fiber optic;No;No;Yes;No;No;No;8981-FJGLA;No
Fiber optic;No;No;Yes;No;Yes;Yes;8982-NHAVY;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;8984-EYLLL;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;8984-HPEMB;No
DSL;No;No;Yes;Yes;Yes;Yes;8985-OOPOS;No
Fiber optic;No;Yes;No;No;No;No;8988-ECPJR;Yes
DSL;Yes;Yes;No;Yes;No;No;8990-YOZLV;No
Fiber optic;No;No;No;No;No;No;8990-ZXLSU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8992-CEUEN;No
DSL;No;No;Yes;No;Yes;Yes;8992-JQYUN;Yes
DSL;No;No;Yes;No;No;Yes;8992-OBVDG;No
DSL;Yes;Yes;No;No;No;No;8992-VONJD;No
Fiber optic;No;No;No;No;No;No;8993-IZEUX;No
DSL;No;No;No;No;No;No;8993-PHFWD;Yes
DSL;No;No;Yes;Yes;No;No;8996-ZROXE;No
Fiber optic;No;No;No;No;Yes;Yes;8999-BOHSE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;8999-EXMNO;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;8999-XXGNS;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;8999-YPYBV;No
DSL;No;Yes;No;No;Yes;Yes;9000-PLFUZ;No
Fiber optic;No;No;Yes;No;No;No;9003-CPATH;No
DSL;No;Yes;Yes;No;No;Yes;9013-AQORL;No
DSL;No;Yes;Yes;No;No;Yes;9018-PCIOK;No
Fiber optic;No;No;No;No;Yes;No;9019-QVLZD;Yes
Fiber optic;No;No;No;No;Yes;Yes;9025-AOMKI;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9025-ZRPVR;Yes
DSL;No;Yes;No;No;No;Yes;9026-LHEVG;No
DSL;No;No;Yes;No;No;No;9026-RNUJS;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;9027-TMATR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9027-YFHQJ;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;No;9028-LIHRP;No
Fiber optic;No;No;Yes;No;No;No;9029-FEGVJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9030-QGZNL;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;9031-ZVQPT;No
DSL;No;No;No;Yes;Yes;Yes;9033-EOXWV;Yes
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;9036-CSKBW;No
DSL;Yes;Yes;No;Yes;Yes;No;9039-RBEEE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9039-ZVJDC;No
Fiber optic;No;Yes;No;No;No;No;9040-KZVWO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9046-DQMTP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9046-JBFWA;No
DSL;No;No;No;Yes;Yes;Yes;9048-JVYVF;Yes
Fiber optic;No;No;No;No;Yes;No;9050-IKDZA;No
Fiber optic;No;No;Yes;No;No;Yes;9050-QLROH;Yes
DSL;Yes;Yes;No;No;No;No;9052-DHNKM;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;9052-VKDUW;No
Fiber optic;No;Yes;No;No;Yes;No;9053-EJUNL;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9053-JZFKV;Yes
Fiber optic;No;No;Yes;No;Yes;No;9054-FOWNV;No
DSL;Yes;No;No;Yes;Yes;No;9055-MOJJJ;No
DSL;Yes;No;No;No;No;No;9057-MSWCO;Yes
Fiber optic;No;No;No;No;Yes;Yes;9057-SIHCH;Yes
DSL;No;No;No;No;No;No;9058-CBREO;Yes
Fiber optic;Yes;Yes;Yes;No;No;Yes;9058-HRZSV;No
Fiber optic;Yes;No;No;No;Yes;Yes;9058-MJLZC;No
DSL;No;Yes;Yes;No;Yes;Yes;9060-HJJRW;No
Fiber optic;No;No;No;No;Yes;Yes;9061-TIHDA;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9063-ZGTUY;Yes
DSL;Yes;Yes;Yes;Yes;No;Yes;9065-ZCPQX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9066-QRSDU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9067-SQTNS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9067-YGSCA;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9068-FHQHD;No
DSL;Yes;No;Yes;Yes;No;Yes;9068-VPWQQ;No
DSL;Yes;No;No;No;No;Yes;9069-LGEUL;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;9070-BCKQP;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9073-ZZIAY;No
DSL;Yes;No;No;No;Yes;No;9074-KGVOX;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;9076-AXYIK;No
Fiber optic;Yes;Yes;No;Yes;Yes;No;9079-LWTFD;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;9079-YEXQJ;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9081-WWXKP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9084-OAYKL;No
DSL;No;No;Yes;No;Yes;Yes;9086-YJYXS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9087-EYCPR;No
DSL;No;No;Yes;No;Yes;No;9089-UOWJG;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;9090-SGQXL;Yes
DSL;Yes;No;Yes;Yes;Yes;No;9091-WTUUY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9092-GDZKO;No
Fiber optic;No;Yes;Yes;Yes;No;Yes;9093-FPDLG;No
Fiber optic;No;Yes;No;No;Yes;Yes;9094-AZPHK;No
Fiber optic;No;No;No;No;Yes;No;9095-HFAFX;Yes
DSL;No;No;No;Yes;No;No;9097-ZUBYC;No
DSL;Yes;No;No;No;No;No;9099-FTUHS;No
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;9101-BWFSS;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9101-NTIXF;No
Fiber optic;No;No;No;No;No;Yes;9102-IAYHT;Yes
DSL;No;No;Yes;No;No;No;9102-OXKFY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9103-CXVOK;No
DSL;Yes;No;No;No;No;No;9103-TCIHJ;Yes
DSL;No;Yes;Yes;No;Yes;Yes;9107-UKCKY;No
DSL;Yes;Yes;No;No;No;No;9108-EJFJP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9108-EQPNQ;No
DSL;Yes;No;Yes;Yes;Yes;Yes;9110-HSGTV;No
Fiber optic;No;No;No;No;No;No;9112-WSNPU;No
DSL;No;Yes;Yes;No;No;Yes;9114-AAFQH;No
DSL;Yes;Yes;Yes;Yes;No;Yes;9114-DPSIA;No
Fiber optic;Yes;Yes;No;No;No;Yes;9114-VEPUF;No
DSL;No;No;No;Yes;No;No;9115-YQHGA;No
DSL;No;No;No;No;No;No;9117-SHLZX;Yes
Fiber optic;No;No;No;No;Yes;No;9121-PHQSR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9122-UMROB;No
Fiber optic;No;No;No;No;No;Yes;9124-LHCJQ;Yes
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9127-FHJBZ;No
DSL;Yes;Yes;No;Yes;No;No;9127-QRZMH;No
Fiber optic;No;No;Yes;No;Yes;Yes;9128-CPXKI;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;9129-UXERG;No
Fiber optic;No;Yes;No;No;Yes;Yes;9133-AYJZG;No
Fiber optic;No;No;No;No;Yes;Yes;9134-CEQMF;Yes
Fiber optic;Yes;No;No;No;Yes;No;9134-WYRVP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9135-HSWOC;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9135-MGVPY;No
DSL;No;No;No;No;No;No;9136-ALYBR;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9137-NOQKA;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;9137-UIYPG;No
Fiber optic;No;No;No;No;No;Yes;9138-EFSMO;No
DSL;Yes;Yes;Yes;No;Yes;No;9139-TWBAS;No
Fiber optic;No;Yes;No;No;Yes;Yes;9139-WQQDY;Yes
DSL;Yes;Yes;No;Yes;Yes;Yes;9140-CZQZZ;No
Fiber optic;No;No;No;No;No;No;9142-KZXOP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9142-XMYJH;No
DSL;Yes;No;No;Yes;No;No;9143-CANJF;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9146-JRIOX;No
DSL;Yes;No;Yes;No;No;No;9150-HEPMB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9150-KPBJQ;No
DSL;Yes;No;Yes;Yes;Yes;Yes;9152-AMKAK;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9153-BTBVV;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;9154-QDGTH;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9158-VCTQB;Yes
DSL;No;Yes;No;No;No;No;9163-GHAYE;No
Fiber optic;No;No;No;No;Yes;No;9167-APMXZ;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;9168-INPSZ;No
DSL;No;No;Yes;No;Yes;Yes;9169-BSVIN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9170-ARBTB;No
Fiber optic;Yes;Yes;Yes;No;No;No;9170-CCKOU;Yes
DSL;Yes;Yes;Yes;Yes;No;Yes;9170-GYZJC;Yes
Fiber optic;Yes;No;No;No;Yes;Yes;9172-ANCRX;Yes
Fiber optic;No;No;No;No;Yes;Yes;9172-JITSM;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9173-IVZVP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9174-FKWZE;Yes
Fiber optic;No;No;No;No;No;No;9174-IHETN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9178-JHUVJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9184-GALIL;No
Fiber optic;No;No;No;No;No;Yes;9185-TQCVP;Yes
Fiber optic;No;No;No;No;Yes;Yes;9189-JWSHV;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;9190-MFJLN;Yes
Fiber optic;No;No;Yes;No;No;No;9191-MYQKX;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;9194-GFVOI;No
DSL;Yes;Yes;No;No;Yes;Yes;9199-PWQVC;No
DSL;No;No;Yes;Yes;Yes;Yes;9200-NLNPD;No
DSL;Yes;No;No;Yes;Yes;Yes;9206-GVPEQ;Yes
DSL;Yes;Yes;Yes;Yes;No;No;9207-ZPANB;No
Fiber optic;No;No;Yes;No;No;Yes;9208-OLGAQ;No
DSL;Yes;No;No;Yes;Yes;No;9209-NWPGU;No
DSL;No;No;No;Yes;Yes;Yes;9210-IAHGH;Yes
DSL;No;No;No;No;No;No;9214-EKVXR;No
DSL;Yes;No;No;Yes;No;No;9220-CXRSC;No
Fiber optic;No;No;Yes;Yes;Yes;No;9220-ZNKJI;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;9221-OTIVJ;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;9223-UCPVT;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9224-VTYID;No
DSL;Yes;Yes;Yes;No;Yes;Yes;9225-BZLNZ;No
DSL;No;No;No;No;No;No;9227-LUNBG;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9227-UAQFT;No
DSL;Yes;Yes;No;Yes;Yes;Yes;9227-YBAXE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9229-RQABD;No
Fiber optic;No;No;No;No;Yes;No;9231-ZJYAM;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;9233-PSYHO;No
DSL;Yes;No;No;Yes;No;No;9236-NDUCW;No
Fiber optic;No;No;No;No;No;No;9237-HQITU;Yes
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9239-GZHZE;No
DSL;No;No;Yes;No;Yes;Yes;9239-ZBZZV;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9242-TKFSV;No
DSL;No;No;No;No;No;No;9244-ZVAPM;No
Fiber optic;No;No;No;No;No;No;9248-OJYKK;Yes
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;9249-FXSCK;Yes
Fiber optic;No;No;No;No;No;No;9250-WYPLL;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9251-AWQGT;No
DSL;Yes;Yes;Yes;No;No;Yes;9251-WNSOD;No
Fiber optic;No;No;No;No;Yes;Yes;9253-QXKBE;Yes
DSL;Yes;Yes;Yes;No;No;No;9253-VIFJQ;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;9254-RBFON;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9256-JTBNZ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9257-AZMTZ;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9258-CNWAC;No
DSL;Yes;Yes;No;Yes;No;No;9259-PACGQ;Yes
DSL;No;No;No;No;No;Yes;9261-WDCAF;No
DSL;No;No;No;No;Yes;No;9269-CQOOL;Yes
Fiber optic;No;No;No;No;No;No;9272-LSVYH;No
Fiber optic;No;No;No;No;No;No;9274-CNFMO;Yes
Fiber optic;No;Yes;No;No;Yes;No;9274-UARKJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9277-JOOMO;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;9278-VZKCD;No
Fiber optic;No;No;No;No;Yes;Yes;9279-CJEOJ;No
DSL;No;Yes;No;Yes;Yes;No;9281-CEDRU;No
Fiber optic;No;Yes;No;No;No;Yes;9281-OFDMF;No
DSL;No;No;No;No;Yes;Yes;9281-PKKZE;No
Fiber optic;No;No;No;No;No;Yes;9282-IZGQK;Yes
Fiber optic;No;No;No;No;No;No;9283-LZQOH;Yes
DSL;Yes;Yes;Yes;Yes;No;No;9286-BHDQG;No
Fiber optic;No;No;No;No;No;No;9286-DOJGF;Yes
DSL;No;Yes;No;Yes;No;Yes;9289-LBQVU;No
Fiber optic;No;No;Yes;No;Yes;Yes;9290-SHCMB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9294-TDIPC;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9297-EONCV;No
DSL;Yes;No;Yes;Yes;Yes;Yes;9297-FVVDH;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9298-WGMRW;No
Fiber optic;No;No;No;No;Yes;Yes;9300-AGZNL;Yes
Fiber optic;No;No;No;No;Yes;No;9300-RENDD;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;9305-CDSKC;Yes
Fiber optic;No;No;No;No;No;No;9306-CPCBC;Yes
DSL;Yes;Yes;No;No;No;No;9308-ANMVE;No
DSL;No;No;Yes;No;No;No;9309-BZGNT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9313-CDOGY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9313-QOLTZ;No
Fiber optic;No;No;No;No;Yes;No;9314-IJWSQ;No
DSL;No;Yes;No;No;Yes;No;9314-QDMDW;No
Fiber optic;No;No;No;No;No;Yes;9317-WZPGV;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9318-NKNFC;Yes
Fiber optic;Yes;No;No;Yes;Yes;Yes;9323-HGFWY;No
DSL;No;No;No;No;No;No;9327-QSDED;No
DSL;Yes;Yes;Yes;Yes;No;No;9330-DHBFL;No
Fiber optic;Yes;No;No;No;Yes;Yes;9330-IJWIO;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;9330-VOFSZ;No
DSL;No;No;No;No;Yes;No;9332-GYWLO;No
Fiber optic;No;No;No;No;No;No;9334-GWGOW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9337-SRRNI;No
DSL;No;Yes;Yes;Yes;Yes;Yes;9339-FIIJL;No
DSL;No;Yes;No;No;No;No;9342-VNIMQ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9347-AERRL;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9348-ROUAI;No
DSL;No;No;No;No;No;No;9348-YVOMK;No
Fiber optic;No;Yes;No;No;No;Yes;9350-VLHMB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9350-ZXYJC;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;9351-HXDMR;No
DSL;Yes;Yes;No;Yes;No;No;9351-LZYGF;No
Fiber optic;No;No;No;No;No;Yes;9355-NPPFS;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;9356-AXGMP;No
DSL;Yes;No;No;Yes;No;No;9357-UJRUN;No
DSL;Yes;No;Yes;Yes;No;No;9359-JANWS;No
DSL;Yes;No;Yes;Yes;No;Yes;9359-UGBTK;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;9360-AHGNL;Yes
Fiber optic;No;No;No;No;Yes;Yes;9360-OMDZZ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9361-YNQWJ;No
DSL;Yes;No;No;Yes;Yes;No;9362-MWODR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9364-YKUVW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9365-CSLBQ;No
Fiber optic;No;No;No;No;No;No;9365-SRSZE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9367-OIUXP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9367-TCUYN;No
Fiber optic;No;No;No;No;No;Yes;9367-WXLCH;Yes
Fiber optic;No;Yes;No;No;No;No;9369-XFEHK;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9371-BITHB;No
DSL;Yes;Yes;No;Yes;No;No;9372-TXXPS;No
DSL;No;Yes;Yes;Yes;Yes;No;9373-WSLOY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9374-YOLBJ;No
DSL;No;No;No;Yes;No;No;9375-MHRRS;No
DSL;No;No;No;No;Yes;Yes;9378-FXTIZ;Yes
DSL;No;No;Yes;No;No;Yes;9381-NDKME;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9385-EHGDO;No
DSL;Yes;Yes;Yes;No;Yes;Yes;9385-NXKDA;No
Fiber optic;Yes;Yes;Yes;Yes;No;No;9386-LDCZR;No
DSL;No;No;Yes;Yes;No;Yes;9388-ZEYVT;No
Fiber optic;No;No;No;No;No;No;9389-ACWBI;No
Fiber optic;No;Yes;Yes;No;No;Yes;9391-DXGGG;No
Fiber optic;No;No;No;No;No;Yes;9391-EOYLI;Yes
Fiber optic;Yes;Yes;Yes;No;No;Yes;9391-LMANN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9391-TTOYH;No
Fiber optic;No;No;No;No;Yes;Yes;9391-YZEJW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9392-XBGTD;No
DSL;No;No;No;No;No;No;9396-ZSFLL;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9397-TZSHA;No
Fiber optic;No;Yes;No;No;No;No;9398-MMQTO;No
Fiber optic;No;Yes;No;No;No;No;9399-APLBT;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;9402-CXWPL;No
Fiber optic;No;No;No;No;Yes;Yes;9402-ORRAH;No
Fiber optic;Yes;No;Yes;Yes;No;Yes;9402-ROUMJ;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;9405-GPBBG;No
Fiber optic;Yes;Yes;No;No;Yes;Yes;9408-HRXRK;No
Fiber optic;No;No;No;No;No;No;9408-SSNVZ;Yes
DSL;Yes;No;No;Yes;Yes;Yes;9411-TPQQV;No
Fiber optic;No;Yes;Yes;Yes;Yes;No;9412-ARGBX;Yes
Fiber optic;No;No;Yes;Yes;Yes;Yes;9412-GHEEC;Yes
Fiber optic;No;No;No;Yes;Yes;No;9415-DPEWS;Yes
DSL;No;Yes;No;No;No;No;9415-TPKRV;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9415-ZNBSX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9418-RUKPH;No
Fiber optic;No;No;Yes;No;No;Yes;9419-IPPBE;No
Fiber optic;Yes;Yes;No;No;Yes;Yes;9420-LOJKX;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9424-CMPOG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9426-SXNHE;No
Fiber optic;No;No;Yes;Yes;No;No;9430-FRQOC;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9430-NKQLY;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;9432-RUVSL;No
Fiber optic;No;No;No;No;No;No;9432-VOFYX;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9435-JMLSX;No
Fiber optic;No;No;No;Yes;Yes;No;9436-ZBZCT;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9441-QHEVC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9442-JTWDL;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9443-JUBUO;No
Fiber optic;No;No;Yes;No;No;No;9444-JTXHZ;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;9445-SZLCH;Yes
Fiber optic;No;Yes;No;Yes;No;No;9445-ZUEQE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9447-YPTBX;No
DSL;No;No;No;No;No;No;9448-REEVD;Yes
Fiber optic;No;No;No;No;Yes;No;9450-TRJUU;No
Fiber optic;No;No;No;No;No;Yes;9451-LPGOO;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9451-WLYRI;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9453-PATOS;No
DSL;No;No;No;No;No;No;9462-MJUAW;Yes
Fiber optic;No;No;Yes;No;No;No;9465-RWMXL;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9467-ROOLM;No
Fiber optic;No;No;Yes;Yes;No;Yes;9469-WEJBT;No
DSL;No;No;Yes;Yes;Yes;Yes;9470-RTWDV;No
Fiber optic;No;Yes;No;No;Yes;No;9470-XCCEM;No
DSL;Yes;Yes;No;Yes;Yes;No;9470-YFUYI;No
DSL;Yes;No;Yes;No;No;No;9473-CBZOP;No
DSL;No;No;Yes;No;No;Yes;9474-PHLYD;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;9475-NNDGC;No
DSL;Yes;Yes;Yes;No;Yes;Yes;9477-LGWQI;No
DSL;No;Yes;Yes;Yes;Yes;Yes;9479-HYNYL;No
Fiber optic;Yes;Yes;No;No;No;Yes;9480-BQJEI;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;9481-IEBZY;No
DSL;No;No;Yes;No;Yes;No;9481-SFCQY;No
DSL;Yes;No;No;Yes;Yes;Yes;9481-WHGWY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9483-GCPWE;No
DSL;Yes;Yes;Yes;Yes;No;Yes;9488-FVZCC;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;9488-FYQAU;No
Fiber optic;No;No;No;No;No;No;9488-HGMJH;Yes
DSL;Yes;Yes;No;No;Yes;No;9489-DEDVP;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;9489-JMTTN;No
DSL;Yes;No;No;No;Yes;No;9489-UTFKA;No
Fiber optic;No;No;No;No;Yes;No;9490-DFPMD;Yes
Fiber optic;No;Yes;No;No;Yes;No;9492-TOKRI;Yes
Fiber optic;No;Yes;Yes;No;No;Yes;9494-BDNNC;No
Fiber optic;No;No;No;No;No;No;9494-MRNYX;No
DSL;Yes;No;No;No;Yes;No;9495-REDIY;No
Fiber optic;No;Yes;Yes;No;No;Yes;9495-SKLKD;No
DSL;Yes;No;No;No;No;No;9496-IVVRP;No
Fiber optic;No;No;No;No;Yes;Yes;9497-QCMMS;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9498-FIMXL;No
DSL;Yes;Yes;No;Yes;No;No;9499-XPZXM;No
DSL;Yes;Yes;Yes;Yes;No;Yes;9500-IWPXQ;No
Fiber optic;No;No;No;Yes;No;No;9500-LTVBP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9500-WBGRP;No
DSL;No;No;No;Yes;Yes;Yes;9501-UKKNL;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9503-XJUME;No
DSL;Yes;No;No;Yes;No;No;9504-DSHWM;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9504-YAZWB;No
DSL;No;Yes;No;No;No;Yes;9505-SQFSW;No
Fiber optic;No;No;No;No;No;No;9506-UXUSK;No
Fiber optic;No;No;No;No;Yes;No;9507-EXLTT;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9507-HSMMZ;No
Fiber optic;No;Yes;No;Yes;Yes;No;9508-ILZDG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9509-MPYOD;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9512-PHSMG;No
Fiber optic;No;No;Yes;No;Yes;Yes;9512-UIBFX;Yes
DSL;Yes;No;Yes;Yes;Yes;Yes;9513-DXHDA;No
DSL;No;Yes;No;No;Yes;No;9514-JDSKI;Yes
DSL;Yes;Yes;Yes;Yes;Yes;No;9518-IMLHK;No
Fiber optic;No;No;Yes;No;Yes;Yes;9518-RWHZL;Yes
Fiber optic;Yes;No;No;No;No;No;9518-XXBXE;No
DSL;No;Yes;Yes;No;Yes;Yes;9522-BNTHX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;9522-ZSINC;No
Fiber optic;No;No;No;Yes;No;Yes;9524-EGPJC;Yes
DSL;Yes;No;No;No;No;No;9526-BIHHD;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;9526-JAWYF;Yes
